issue,issue-sum,service,service-sum,agree,disagree,noidea,category1,category2,category3,category4
공공 안전,6264634930000.0,국제 사회적경제 협의체 운영,400000000,1,1,1,사회복지,사회복지일반,사회적경제 생태계 조성,사회적경제 인프라 구축
공공 안전,6264634930000.0,의정회 지원,76000000,0,2,0,일반공공행정,일반행정,시정현안 기획조정,시의회 협력강화
공공 안전,6264634930000.0,다문화 가정의 건강관리(주민참여),10000000,1,0,2,보건,보건의료,시민건강수준 향상,"노인, 모자보건 서비스 확충"
공공 안전,6264634930000.0,공공기관 에너지자립 지원사업,0,1,2,1,환경보호,대기,에너지절약과 생산으로 원전하나줄이기,신재생에너지 보급
공공 안전,6264634930000.0,특별사법경찰 활동 활성화지원,1152777000,3,0,1,공공질서및안전,경찰,민생사법경찰 활동강화를 통한 안전도시 서울 구현,민생사법경찰 업무활성화
공공 안전,6264634930000.0,"안양천·목감천 합류부 보행자전용도로 설치(구로구, 주민참여)",0,2,1,0,국토및지역개발,수자원,치수 및 하천 관리,하천복원 및 정비
공공 안전,6264634930000.0,권역별 생활권계획 수립,900000000,1,0,0,국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구
공공 안전,6264634930000.0,의회운영 지원,587078000,0,2,1,일반공공행정,입법및선거관리,의회운영 강화 및 의회 청사시설의 안정적 관리,의회운영 사업
공공 안전,6264634930000.0,노숙인 재활시설 운영,3683503000.0,0,0,1,사회복지,취약계층지원,노숙인 보호 및 자활지원,노숙인 복지시설 운영지원
공공 안전,6264634930000.0,개화근린공원(강서) 조성,370000000,2,1,1,국토및지역개발,지역및도시,생활권 공원확충,미집행 공원조성
공공 안전,6264634930000.0,정보화시스템 통합유지보수,625782000,1,2,0,수송및교통,대중교통ㆍ물류등기타,방송운영 및 관리,방송시설 및 장비관리
공공 안전,6264634930000.0,도시시설물 안전점검 강화,13000000,1,1,0,일반공공행정,일반행정,투자·출연·보조금 지원기관에 대한 현미경 감사로 투명성과 효율성 확보,투명하고 효율적인 투자출연기관 경영지원
공공 안전,6264634930000.0,글로벌 강소기업 유통·마케팅 지원,1874000000,1,3,1,산업ㆍ중소기업,산업진흥ㆍ고도화,중소기업 및 소상공인 자립기반 확립,소상공인 보호 및 강소기업 육성
공공 안전,6264634930000.0,벼 병해충 방제지원,50000000,3,0,0,농림해양수산,농업ㆍ농촌,믿을 수 있는 농수산물 유통환경 조성,도시농업육성 지원
공공 안전,6264634930000.0,시설공사 품질향상 유지관리 수준향상,462898000,1,0,1,수송및교통,도로,도시기반시설관리,도시기반시설관리
공공 안전,6264634930000.0,아동안전보호,480663000,2,0,0,사회복지,노인ㆍ청소년,건전한 청소년육성 및 복지서비스 증진,아동복지 서비스 증진
공공 안전,6264634930000.0,정보자료 관리 및 자료실 운영 관리,295966000,1,0,1,문화및관광,문화예술,도서관 및 독서문화 진흥,서울도서관 운영
공공 안전,6264634930000.0,수송초등학교 복합화(정보화도서관 건립) 지원,0,0,0,1,문화및관광,문화예술,도서관 및 독서문화 진흥,도서관 시설확충
